Estado,Ciudad,Zona_Escalada,Outdoor_o_Indoor,Tipo_de_Escalada,Calificacion_Promedio,Accesibilidad,Fuente,Insignia_Reconocimiento
Veracruz,Boca del Río,Boulder 9.8 Boca,Indoor,Boulder,4.7,Facil,Google Maps,
Veracruz,Xalapa,Karakorum Gimnasio de escalada,Indoor,Boulder,5,Facil,Google Maps,
Veracruz,Xalapa,Studio Roca,Indoor,Boulder,4.8,Facil,Google Maps,
Yucatán,Ticul,Camp Two Lands,Outdoor,Deportiva-Boulder,NULL,Facil,TheCrag-OutdoorActive,
Yucatán,Ticul,Ticul,Outdoor,Deportiva-Boulder,NULL,Facil,TheCrag,
Yucatán,Opichén,Grutas de Calcehtok,Outdoor,Boulder,4.8,Facil,TheCrag-Google Maps,
Yucatán,Abalá,Uayalceh,Outdoor,Boulder,NULL,Media,TheCrag,
Yucatán,Tecoh,Cenote Nah Yah,Outdoor,Psicobloc,4.7,Media,TheCrag-Google Maps,
Yucatán,Sotuta,Zavala,Outdoor,Deportiva-Boulder,NULL,Media,TheCrag,
Yucatán,Mérida,RockSolid Mérida,Indoor,Boulder,4.7,Facil,Google Maps,
Zacatecas,Fresnillo,Linares,Outdoor,Deportiva-Boulder,4.4,Media,TheCrag-Locales,
Zacatecas,Zacatecas,Las Antenas,Outdoor,Deportiva,4.5,Media,TheCrag-Locales,
Zacatecas,Zacatecas,Cueva de las Goteras,Outdoor,Deportiva,4,Dificil,TheCrag-Locales,
Zacatecas,Zacatecas,La Peñuela,Outdoor,Boulder,4.6,Facil,TheCrag-Locales,
Zacatecas,Zacatecas,Zector Climbing House Muro de escalada,Indoor,Boulder,NULL,Facil,Google Maps,
